Id,Naziv
1265,Ortodoncija - konzultacija bez pacijenta
1105,Ortodoncija - ostali postupci
870,Ortopan
78,Ortopedija - Kontrolni pregled
77,Ortopedija - Prvi pregled
1259,Ortopedija - konzultacija bez pacijenta
1099,Ortopedija - ostali postupci
778,Ortoptičko-pleoptičke vježbe
946,Ostala sijela i rijetki tumori (onkologija) - kontrolni pregled
954,Ostala sijela i rijetki tumori (onkologija) - prvi pregled
87,Otorinolaringologija - Kontrolni pregled
86,Otorinolaringologija - Prvi pregled
1260,Otorinolaringologija - konzultacija bez pacijenta
1051,Otorinolaringologija - mali zahvat
1100,Otorinolaringologija - ostali postupci
1507,PCR testiranje na COVID-19
1125,PET/CT
1049,Pacemaker - kontrola
1213,Palijativna skrb - ostali postupci
708,Parazitološka pretraga kože
112,Parodontologija - Kontrolni pregled
111,Parodontologija - Prvi pregled
1268,Parodontologija - konzultacija bez pacijenta
1108,Parodontologija - ostali postupci
704,Patohistološka analiza kožne lezije
1445,Patohistološka dijagnostika - konzultacija bez pacijenta
1205,Patohistološka dijagnostika - ostali postupci
38,Pedijatrija - Kontrolni pregled
37,Pedijatrija - Prvi pregled
1253,Pedijatrija - konzultacija bez pacijenta
1093,Pedijatrija - ostali postupci
557,Pedijatrijska EEG - Elektroencefalografija
1408,Pedijatrijska alergologija i klinička imunologija - konzultacija bez pacijenta
54,Pedijatrijska alergologija/imunologija - Kontrolni pregled
53,Pedijatrijska alergologija/imunologija - Prvi pregled
556,Pedijatrijska algologija - Kontrolni pregled
555,Pedijatrijska algologija - Prvi pregled
548,Pedijatrijska bolesti metabolizma - kontrolni pregled
26,Pedijatrijska dermatologija - Kontrolni pregled
25,Pedijatrijska dermatologija - Prvi pregled
1390,Pedijatrijska dermatologija - konzultacija bez pacijenta
546,Pedijatrijska dijabetologija - kontrolni pregled
545,Pedijatrijska dijabetologija - prvi pregled
50,Pedijatrijska endokrinologija - Kontrolni pregled
49,Pedijatrijska endokrinologija - Prvi pregled
1441,"Pedijatrijska endokrinologija, dijabetes i bolesti metabolizma - konzultacija bez pacijenta"
629,Pedijatrijska farmakologija - kontrolni pregled
626,Pedijatrijska farmakologija - prvi pregled
46,Pedijatrijska gastroenterologija - Kontrolni pregled
45,Pedijatrijska gastroenterologija - Prvi pregled
1403,Pedijatrijska gastroenterologija - konzultacija bez pacijenta
630,Pedijatrijska genetika - kontrolni pregled
627,Pedijatrijska genetika - prvi pregled
1405,Pedijatrijska hematologija i onkologija - konzultacija bez pacijenta
52,Pedijatrijska hematologija/onkologija - Kontrolni pregled
51,Pedijatrijska hematologija/onkologija - Prvi pregled
559,Pedijatrijska i adolescentna ginekologija - Kontrolni pregled
558,Pedijatrijska i adolescentna ginekologija - Prvi pregled
40,Pedijatrijska kardiologija - Kontrolni pregled
39,Pedijatrijska kardiologija - Prvi pregled
1400,Pedijatrijska kardiologija - konzultacija bez pacijenta
1442,Pedijatrijska klinička farmakologija i toksikologija - konzultacija bez pacijenta
44,Pedijatrijska nefrologija - Kontrolni pregled
43,Pedijatrijska nefrologija - Prvi pregled
1402,Pedijatrijska nefrologija - konzultacija bez pacijenta
1406,Pedijatrijska neonatologija - konzultacija bez pacijenta
42,Pedijatrijska neurologija - Kontrolni pregled
41,Pedijatrijska neurologija - Prvi pregled
1401,Pedijatrijska neurologija - konzultacija bez pacijenta
48,Pedijatrijska pulmologija - Kontrolni pregled
47,Pedijatrijska pulmologija - Prvi pregled
1404,Pedijatrijska pulmologija - konzultacija bez pacijenta
631,Pedijatrijska reumatologija - kontrolni pregled
1409,Pedijatrijska reumatologija - konzultacija bez pacijenta
628,Pedijatrijska reumatologija - prvi pregled
547,Pedijatrijske bolesti metabolizma - prvi pregled
633,Pedijatrijski EKG
632,Pedijatrijski UZV abdomena
1285,Pedijatrijski gastroenterološki UZV
634,Pedijatrijski holter EKG
635,Pedijatrijski holter tlaka (KMAT)
777,Perimetrija (vidno polje) jednog oka
858,Plastična i rekonstruktivna kirurgija - elektivni zahvati
860,Plastična i rekonstruktivna kirurgija - malignomi
859,Plastična i rekonstruktivna kirurgija - nemaligne bolesti
66,Plastična kirurgija - Kontrolni pregled
65,Plastična kirurgija - Prvi pregled
1414,Plastična kirurgija - konzultacija bez pacijenta
1417,Plastična kirurgija glave i vrata - konzultacija bez pacijenta
1425,Plastična kirurgija glave i vrata - konzultacija bez pacijenta
724,Poligrafija za djecu
1231,Polisomnografija
970,Početak ortodontske terapije
582,Prednji očni segment - Kontrolni pregled
581,Prednji očni segment - Prvi pregled
1427,Prednji segment oka - konzultacija bez pacijenta
713,Previjanje rane - flebologija
715,Prick-test (alergologija)
1165,Program Love Your Heart
440,Prostata - TURP
792,Prostata specifični antigen - PSA
934,Proteza - podlaganje
